name,gender,age,height,weight,go.pro,math
Alfred,M,14,69,112.5,35,530
Alice,F,13,56.5,84,36,420
Barbara,F,13,65.3,98,57,510
Carol,F,14,62.8,102.5,14,530
Henry,M,14,63.5,102.5,43,510
James,M,12,57.3,83,44,370
Jane,F,12,59.8,84.5,37,460
Janet,F,15,62.5,112.5,27,490
Jeffrey,M,13,62.5,84,36,420
John,M,12,59,99.5,32,470
Joyce,F,11,51.3,50.5,30,370
Judy,F,14,64.3,90,30,570
Louise,F,12,56.3,77,29,520
Mary,F,15,66.5,112,39,550
Philip,M,16,72,150,51,590
Robert,M,12,64.8,128,49,400
Ronald,M,15,67,133,34,540
Thomas,M,11,57.5,85,35,450
William,M,15,66.5,112,30,620
